 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
李汶翰的小盒妹鸭,李汶翰lwh #李汶翰 0722生日快乐# 七月，请对这个善良又可爱的男孩子好一点吧李汶翰，以后我们一起走#李汶翰夏日情书#? lwh #李汶翰追球# @UNINE_李汶翰 ???
李小盼盼肀盼盼,#宣酒6上市热销一周年# 祝福宣酒，生日快乐??@和蔼的牛肉白白@小蕊嗳戴竹@娜娜爱勋
李应祺啊祺,我真的快撑不下去了?  ?
李中阳6__153,#宣酒6上市热销一周年# 一周年快乐，今天也是我生日@薰韵浅兮@我们的黑白世界@阳光的傲娇鹿
历历如惠,今天是党的生日，祝党生日快乐 ?
莉柚薇甜,//@治愈系-夏目友人帐:#0701夏目贵志生日快乐# 生日快乐呀！已经不会再孤单了
栗十八呀,离别的话太多了就许个朴实的愿望：希望我们都能一直快乐下去 ?
粒L麦提莎巧克力,”我喜欢現在的自己，当你喜欢现时的自己，就会活得很快樂”—— 鐘嘉欣 ?
连s_MissLia,我都不知道这两集在演个啥，烂就一句话。全靠忘羡撑着我看下去。 ?
戀丶哆,定期吐槽一番，有助于身心放松，然后就觉得又可以撑下去了。//@甜味少年:我更加喜欢我那几个不着调的老朋友 不常见面 有事有空就联系 没空就人间蒸发 这种感情不需要维系但足够铁 ?????????????????????????????????????????????????? ?
戀丶哆,定期吐槽一番，有助于身心放松，然后就觉得又可以撑下去了。//@甜味少年:我更加喜欢我那几个不着调的老朋友 不常见面 有事有空就联系 没空就人间蒸发 这种感情不需要维系但足够铁 ?????????????????????????????????????????????????? ?
凉泽yee语,晚安 愿七月对千玺好一点//@梨寒:六月真的是快乐和伤痛并行，我们失去小北迎来李必，在街舞的乱剪里秃头，在十二的争气里笑开花，希望七月请对崽崽好一些。晚安。
林811854,#钩针玩偶# 六一发福利啦，苗条，早的小熊收纳盒图解拿出来和大家一起分享希望大家能拥有一颗儿童之心，保持点儿童般的纯真和快乐，或许我们的生活会有不同的变化 六一儿童节快乐 ?
林子薇薇V,很快就要撑不下去了 ?
林子薇薇V,很快就要撑不下去了 ?
林子薇薇V,很快就要撑不下去了 ?
灵魂归墟,感觉生活撑不下去的时候想想他们 我还能继续撑下去
灵魂归墟,感觉生活撑不下去的时候想想他们 我还能继续撑下去
凌桐爬凌,翟潇闻爸爸父亲节快乐@R1SE-翟潇闻
凌小晚,感觉快撑不下去了 ?
凌小晚,感觉快撑不下去了 ?
绫夏19850,明后天有考试我很开心不用在图书馆憋着复习啦可是还有一周的电路复习+考试啊啊啊啊啊土拨鼠生气天天不饿，但是天天吃(撑每天晚上都会撑的躺不下去but我轻了这个混乱的状态考完试就能结束吧 ?
令舞轼,我关注了大熊猫奇一奇果生日快乐超话，小伙伴们快来加入大熊猫奇一奇果生日快乐超话一起聊聊吧~戳这里→ http://t.cn/EoJm5JR ?
溜号走神分心恍惚中,建党节快乐 ?
刘昊燃_,#任豪叫粉丝小女孩# #任豪0717生日快乐# ?
刘锐韶,你快乐的每一天  就是新生 ?
刘温柔Edison,其实 我也没有看起来那么快乐 只是喜欢表现快乐 2郑州 ?
六源的元,真好啊//@一只丧鹅:他看起来好快乐//@蛋黄太厚:好治愈啊啊啊啊啊啊啊啊太喜欢了
龙龙小甜宝,//@一点都不可爱518:小时候觉得天天开心快乐这样的祝福太俗 太没深度 没内涵 现在觉得天天开心快乐是最美好最实际的祝福
龙啸one386,浙大博士跳江自杀：孩子，撑不下去的时候，看看这几张图吧！ $invite_code$--分享自微鲤看看O网页链接微鲤看看 越看越有意思 ?
陆婷的小鱼,这一年真的超煎熬超痛苦如果不是因为饭上lu总我可能真的真的真的早就撑不下去早就被击垮了我真的真的真的真的真的真的真的真的好爱她哦我真的真的真的真的真的真的真的好想要见到她很烦很烦真的很烦在线流泪 ?
鹿梨酱,生日快乐！
鹿芦贝贝,减肥成功? ? //@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
罗罗薇安,其实我好累好累，真的也快撑不下去了，放过彼此吧 ?
洛釉c,我觉得我就像集市上的鱼，水分蒸发得差不多了。我时常觉得自己就要撑不下去，而你总是适时又吝啬地洒点水给我，我便要再提着一口气蹦哒两下，作出生龙活虎的样子给你看。我在前途未卜的痛苦里周而复始，你是不要我死的，又偏不肯温柔豢养我。 2西安 ?
绿色小野兽很开心,回复@晨艺:宝贝七月快乐//@晨艺:嘿！
略略宝Y,自己努力的让自己快乐起来总有最亲近的人给你最沉重的打击也许有天撑不下去了就是真的解脱 ?
略略宝Y,自己努力的让自己快乐起来总有最亲近的人给你最沉重的打击也许有天撑不下去了就是真的解脱 ?
妈粉扛把子,受不了了受不了了就算是俩男主都撑不下我看下去了！！就问一句剧版温情什么时候去死？？？？？
妈粉扛把子,受不了了受不了了就算是俩男主都撑不下我看下去了！！就问一句剧版温情什么时候去死？？？？？
马克吐温Mark,一切顺利！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
马文婧-,人对待所有情感就一次底线祝人幸福太难那就祝你快乐 2西宁 ?
蚂蚱腿子dioica,七月啦 要快乐 ?
曼玉妹妹,好好学习//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@ali_thin:求你减肥//@Tiger公子:别再生病了
芒果冰Jenny,#简妮跳操打卡# 近半个月记录。因为最近教练开始陆陆续续休假，cross停掉了，目前都靠bodypump撑着，偶尔cxworx填一点坑。yellow circle戴另外的心率带，不在这个app上记录。接下去的三周训练课程更堪忧。 ?
猫在撒娇,一天都撑不下去了，早点死掉吧拜托了拜托了…… ?
猫在撒娇,一天都撑不下去了，早点死掉吧拜托了拜托了…… ?
毛猴敲酒,真的好可爱啊！！！可是节目无聊到撑不下去了//@我可以一天吃这样吃四顿:是13年的宝宝
毛毛虫WAN,"浙大博士跳江自杀: 孩子, 撑不下去的时候, 看看这几张图吧!O网页链接 ?"
玫瑰和桥,更博太频繁了 说开个微博小号 没手机号绑定 猿给了我十张电话卡 结果我还是太懒 没拿卡绑定 真的是屁大点的事都想发个微博 大白话 栾川话说出来我觉得最好听 哈哈哈我是个奇葩 七月还有三分钟就过去一个小时啦 小王祝大家快快乐乐 开开心心 ?
每天都要开心和超级幸运,@纯粹快乐要和你分享 @温柔遨游
孟祥洋Y,因为你想的太多了、总是有那么多事放不下、听到歌子里的歌词和你心中所想的相似所以总会不知不觉的、流泪、#为什么你接触到音乐会很想哭# 好的音乐就是感情的载体，快乐的  忧伤的，都是感情的自然流露，一首好歌，不仅歌词和旋律要好，重要的是它能唱出社会百态，就像中国的古诗一样，意在词之外， ?  展开全文c
梦不二很2,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ???
梦里有彩虹小马,#利特0701生日快乐#  哥哥要大发咯@0Oo冒泡泡O0o
梦里有彩虹小马,生日快乐宝贝
梦里有彩虹小马,最好最好的队长//@SuperJunior吧:祝福我们最好的队长，生日快乐啊！！#利特0701生日快乐# #朴正洙0701生日快乐# SuperJunior利特朴正洙 ???
梦小盈盈,你们想不到我吃了多少，一盘半的龙虾是我吃的。喝了好多鸡汤，还吃了三个水饺，两块蛋糕最后吃的西瓜? 超甜超多水。饭局维持到九点半结束的， 现在我还撑的躺不下去。。吃得多要付出代价 2淄博 ?
梦小盈盈,你们想不到我吃了多少，一盘半的龙虾是我吃的。喝了好多鸡汤，还吃了三个水饺，两块蛋糕最后吃的西瓜? 超甜超多水。饭局维持到九点半结束的， 现在我还撑的躺不下去。。吃得多要付出代价 2淄博 ?
梦瑶小可爱-3-,像极了我们 啥时候娶我我们就能结束异地恋有好几次我都撑不下去了看哭了 L梦瑶小可爱-3-的微博视频 ?
梦瑶小可爱-3-,像极了我们 啥时候娶我我们就能结束异地恋有好几次我都撑不下去了看哭了 L梦瑶小可爱-3-的微博视频 ?
夢里有鱼呢,希望把我所有的快乐都分给你一切都会好的 ?
迷糊的小绿茶,感觉好累 有点撑不下去了 ?
密码0216,坚强的男人在撑不下去的时候会想妈妈，想妈妈的时候容易哭出来，不是想回家诉说什么，妈妈就像一个灵魂的港湾，将内心无处安放的委屈寄托在那，这个世界没怎么样，你的世界到底怎么了，善良被无情吞噬，孝心被物质磨灭，友情被利益绑架，爱情在角落里哭泣……#这个世界会好吗 (相信未来版) [Live] ?  展开全文c
密码0216,坚强的男人在撑不下去的时候会想妈妈，想妈妈的时候容易哭出来，不是想回家诉说什么，妈妈就像一个灵魂的港湾，将内心无处安放的委屈寄托在那，这个世界没怎么样，你的世界到底怎么了，善良被无情吞噬，孝心被物质磨灭，友情被利益绑架，爱情在角落里哭泣……#这个世界会好吗 (相信未来版) [Live] ?  展开全文c
密密麻麻在心口难言,最可怕的是不动声色的崩溃就像一层薄膜包裹着黑色的浓浆我需要你 哪怕只是一句话一个字 也能给我力量我快撑不下去了 如果今天是最后一天 就好了 ?
密密麻麻在心口难言,最可怕的是不动声色的崩溃就像一层薄膜包裹着黑色的浓浆我需要你 哪怕只是一句话一个字 也能给我力量我快撑不下去了 如果今天是最后一天 就好了 ?
蜜论,18岁的年龄   听着28岁人的歌  有着38岁的经历   混的还没有8岁的小孩好  确实  一个人过早的成熟会失去很多同年人该有的快乐 ?
棉花糖天空堂主,要不是因为宋仲基的颜值我能撑到第八集?不过实在看不下去了。太做作、太难看了…我是老年人，粉丝们不要骂我…恕我直言啊。 ?
棉花糖天空堂主,要不是因为宋仲基的颜值我能撑到第八集?不过实在看不下去了。太做作、太难看了…我是老年人，粉丝们不要骂我…恕我直言啊。 ?
喵性女孩P,//@我可以睡您吗:那个消防员撕心裂肺的哭声我也还记得。//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
喵性女孩P,//@我可以睡您吗:那个消防员撕心裂肺的哭声我也还记得。//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
杪秋二五,维持现在的状态就很好//@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
妙木山山民,进击的巨人第三季part2也结束了，看到海又怎样，真相、代价依旧是血淋淋的残酷。世界是残酷而美好的，而残酷永远都在美好前面，不然怎么会珍惜美好？人如果不沉醉于某些东西，估计都撑不下去的吧，找到自己沉醉的东西了吗？ ?
妙木山山民,进击的巨人第三季part2也结束了，看到海又怎样，真相、代价依旧是血淋淋的残酷。世界是残酷而美好的，而残酷永远都在美好前面，不然怎么会珍惜美好？人如果不沉醉于某些东西，估计都撑不下去的吧，找到自己沉醉的东西了吗？ ?
明处除扫卧,翟潇闻，快乐的方式有很多，最直接的，就是见到你 不好意思了，一不小心把所有的喜欢都砸到你身上了? @R1SE-翟潇闻 //@R1SE-翟潇闻:R1SE @R1SE-夏之光 怎么好好感谢一下我选的苹果房 查看图片
明处除扫卧,翟潇闻，快乐的方式有很多，最直接的，就是见到你 不好意思了，一不小心把所有的喜欢都砸到你身上了? @R1SE-翟潇闻 //@R1SE-翟潇闻:R1SE 那? 吧
明俭鑫4,#张艺兴卷发#「我……我真的撑不下去了。」她啜泣着把脸埋进了双手，我拍着她的肩膀鼓励她：「你一定要撑下去啊！难道你忘了开始时我俩一起许下的誓言了么？这可[手套]是300一个人的自助餐啊！」 ?
明少Harry,电影里说，“你我之间本无缘分，全靠我死撑，我明白的。”以前觉得这话直抵泪点，现在却觉得，说白了，爱一个人真的就是自己一个人的事儿，得拿出过日子一样的态度。只要还想继续，就大不了哭一场，硬着头皮爱下去。世间什么缘分不缘分，都是撑来的。——七堇年 分享单曲 K那些花儿 (电影《那时花开》片尾曲) ( ?  展开全文c
明少Harry,电影里说，“你我之间本无缘分，全靠我死撑，我明白的。”以前觉得这话直抵泪点，现在却觉得，说白了，爱一个人真的就是自己一个人的事儿，得拿出过日子一样的态度。只要还想继续，就大不了哭一场，硬着头皮爱下去。世间什么缘分不缘分，都是撑来的。——七堇年 分享单曲 K那些花儿 (电影《那时花开》片尾曲) ( ?  展开全文c
摩羯JEAN就是我,我这个小角落简直了，冬天冷死，夏天热死，好友说：“全靠一口仙气提着”，妈呀，真的太考验我的意志力了，热的已经完全没形象了，形象是什么？不存在的加油啊，夏天才刚开始而已，撑下去！ ?
蘑菇爷爷的老花镜,我目前可以允许你做做小孩，但不要一直这样做小孩，在我需要你的时候，也希望你为了我坚强起来。也可以给你很多很多很多耐心，但不会给你无限的耐心，在我撑不下去的时候，也希望你可以包容我。 ?
蘑菇爷爷的老花镜,我目前可以允许你做做小孩，但不要一直这样做小孩，在我需要你的时候，也希望你为了我坚强起来。也可以给你很多很多很多耐心，但不会给你无限的耐心，在我撑不下去的时候，也希望你可以包容我。 ?
陌夜紫澜,对不起，我撑不下去了。 2西安·西安建筑科技大学华清学院 ?
莫莫莫莫莫奈,#李汶翰 0722生日快乐# 李汶翰好火呀@UNINE_李汶翰
墨染朵朵,那些简单的、温暖的、看似唾手可得的小快乐原本应该的 每个晨光熹微，每个繁星闪烁寒潮、风雷、霹雳雾霭、流岚、虹霓每一分每一秒我们都错过了多可惜 ???
墨水团子-,2019年的下半年好好努力就是啦！保重身体 珍惜时间 好好生活开心快乐加油加油加油 ?
默哀心底,我俩的关系全靠我硬撑 今天终于撑不下去了 祝我以后能越来越好 ?
默哀心底,我俩的关系全靠我硬撑 今天终于撑不下去了 祝我以后能越来越好 ?
某知名水库万年锦鲤精,我们特哥生日快乐?
木木是只小馋猫,老子连约好的小姐姐都没去，在医院陪你三天治疗猫瘟，你要是敢撑不下去，老子绝逼炖了你喂野猫野狗！ ?
木木是只小馋猫,老子连约好的小姐姐都没去，在医院陪你三天治疗猫瘟，你要是敢撑不下去，老子绝逼炖了你喂野猫野狗！ ?
目WDD--wanlear--72的,姚琛未来加油，姚琛入住新家快乐，我们一起@R1SE-姚琛 @R1SE-姚琛 #姚琛Cookies# #姚琛仓鼠侠# //@R1SE-姚琛:R1SE ? ? ? ? ? ?    入住新家快乐～  10年 20年 30年……R1SE?Family  ? Together Forever ?  ? ? ?
暮暮_行雨,//@三无大王来巡山:?  就一个字！//@刘码露:这才只播了区区两天，下周一二三每天加播两集，我好累又好快乐。//@翛翛者何:害！我刚去突击检查了下，截止23点30分，投稿日期为6月30日的陈情令视频有854个，陈总实红
那举个栗子叭,夏目君，生日快乐。 ?
奶饼加盐,是最最最珍贵的宝贝? //@李泰容吧_TaeYongBar:李泰容 ? #李泰容0701生日快乐# 我们心中最珍贵的泰容生日快乐? 是无论什么事情都做得很好的泰容，是不仅拥有精致相貌、实力更是优秀无比的全能ACE，也是大家心中柔软的小猫咪? 大家一直陪伴泰容、给予泰容最多最多的爱吧?
奶盖敲好喝,//@段奕宏全球粉丝汇:演员段奕宏 #大秦帝国之天下# 段奕宏饰演吕不韦。祝大家端午节快乐！
奶思晁,哥哥生日快乐！！@耿浩伦real 希望我明天商法考试成绩像哥哥的身材一样好 ?
奶油草莓的id,今天是我跟文振刚在一起的462天 我还是想说 时间真的很快 虽然大多时间我们都是异地 但是我们共同经历了很多 我们互相都为对方改变了很多 陪我撑过了很多不开心难熬的日子 以后的日子也要好好的走下去 ?
奶油五香炒瓜子,新的一周要靠朱一龙才能撑下去。不过没关系，不出来也OK，旧图完全够我看。 ?
奶油五香炒瓜子,新的一周要靠朱一龙才能撑下去。不过没关系，不出来也OK，旧图完全够我看。 ?
男红娘,#男红娘#人生的风景，多姿多彩。做人要有一颗平常心，我们辛辛苦苦来到这个世界上，快乐，是纯粹自然的产物，尽管世事繁杂，心依然，情怀依然；尽管颠簸流离，脚步依然，追求依然；尽管岁月沧桑，世界依然，生命依然。 ?
南部煎饼,有时候很多事情都不太想和别人说只想自己撑着，偶尔觉得撑不下去的时候就稍微自言自语一下，然后就又nb了 ?
南部煎饼,有时候很多事情都不太想和别人说只想自己撑着，偶尔觉得撑不下去的时候就稍微自言自语一下，然后就又nb了 ?
南风未起XC,实习培训的第一天，听的很绝望不知道这九个月自己能不能撑得住每天都很想你，总是说去看你又总是一忙就没时间了…其实也没什么重要的事可就总是捯饬到很晚再次来了一个陌生的环境来了一周，总共吃了可能有六顿饭吧也不是不饿，就是吃不下去就当减肥了吧…哈哈瓢瓢你要记得按时吃饭睡觉现在 ?  展开全文c
南风未起XC,实习培训的第一天，听的很绝望不知道这九个月自己能不能撑得住每天都很想你，总是说去看你又总是一忙就没时间了…其实也没什么重要的事可就总是捯饬到很晚再次来了一个陌生的环境来了一周，总共吃了可能有六顿饭吧也不是不饿，就是吃不下去就当减肥了吧…哈哈瓢瓢你要记得按时吃饭睡觉现在 ?  展开全文c
南京市公安局地铁分局,#庆祝建党98周年# 生日快乐！ L南京市公安局地铁分局的微博视频 ?
南冥鹿鸣,人间是一场大型共情实验#方方土滴每日批话##我好快乐一男滴# ?
南山的feng,七月麻烦请对一个女孩子好一点、她很不开心、经历的很不开心、希望你能把所有的快乐都给她.#欠你一片星海# ?
南曦是我,我勇哥生日快乐 ?
南粤国土著Anna,快乐//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
能把快乐接我一天吗,我就像是像集市上的鱼 水分蒸发得差不多了 我时常觉得自己快要撑不下去 而你总是适时又吝啬地洒点水给我 我便要再提着一口气蹦哒两下 作出生龙活虎的样子给你看 我前途未卜的痛苦周而复始 你是不要我死的 又偏不肯温柔豢养我 ?
能把快乐接我一天吗,我就像是像集市上的鱼 水分蒸发得差不多了 我时常觉得自己快要撑不下去 而你总是适时又吝啬地洒点水给我 我便要再提着一口气蹦哒两下 作出生龙活虎的样子给你看 我前途未卜的痛苦周而复始 你是不要我死的 又偏不肯温柔豢养我 ?
妮酱妮妮酱,晚安崽崽@UNINE_李汶翰 #李汶翰 0722生日快乐#
霓虹灯不是红绿灯,好了好了好了，麻麻亲亲抱抱没关系呀宝贝，麻麻要你开开心心快快乐乐的//@晨艺:嘿！
伱的烟熏到我没关系,噫嘻看迪士尼好快乐啊
伱算阿貓还阿豿,#不忘初心#给自己的九句话当你撑不下去的时候 ?
伱算阿貓还阿豿,#不忘初心#给自己的九句话当你撑不下去的时候 ?
你霸气的bdjj,生日快乐，本哥
你的美丽呀wW,作为一个沾床就能睡着的人 竟然失眠那我只能祝七月的第一天一定要快乐快快乐乐真的好想睡着啦? 最近很火的一句话啦“烟火气最抚凡人心”                                                          2019.07.01?  2滨州·滨州职业学院 ?
你很美可是我得回家YL,快乐能产生健康，提高标准，促进计划，消减厌倦，加强记忆，兴奋志趣，发扬动力，使工作者获得成功。 ?
你看树上有只猪也,哎 怜爱了 想起小朱上半年也差不多是这么个状态 真切看到列出来的行程安排表就明白为何咳咳复咳咳 一个感冒拖半年 骂公司不做人但又觉得是红的代价 偶像没有不温不火这一说 要么抠脚 要么刀山火海千难万难也得给我撑下去ギリギリ ?
你看树上有只猪也,哎 怜爱了 想起小朱上半年也差不多是这么个状态 真切看到列出来的行程安排表就明白为何咳咳复咳咳 一个感冒拖半年 骂公司不做人但又觉得是红的代价 偶像没有不温不火这一说 要么抠脚 要么刀山火海千难万难也得给我撑下去ギリギリ ?
你看树上有只猪也,哎 怜爱了 想起小朱上半年也差不多是这么个状态 真切看到列出来的行程安排表就明白为何咳咳复咳咳 一个感冒拖半年 骂公司不做人但又觉得是红的代价 偶像没有不温不火这一说 要么抠脚 要么刀山火海千难万难也得给我撑下去ギリギリ ?
你看小橘笑得多开心,@朱一龙工作室 小室诶，刚下班回来洗漱躺着，先祝您七月快乐哇，替所有包问候咱哥好哈，让他好好休息哇！ ?
你忘记和我说晚安了,@心动超元 xdcy生日快乐?  还不熟但希望我们会慢慢变熟[大侦探皮卡丘微笑] ?
妳是我唯一想要的了解-,每当生活困苦就想既然都撑过来了为什么不能走下去呢K双门洞/惠化洞（口琴版）（Cover：请回答1988） (@网易云音乐) ?
妳是我唯一想要的了解-,每当生活困苦就想既然都撑过来了为什么不能走下去呢K双门洞/惠化洞（口琴版）（Cover：请回答1988） (@网易云音乐) ?
念七,调整作息 调整心态吧//@尸姐:不要再钻牛角尖了//@辣条娘: 不要怕 勇敢一点对自己好一点//@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
宁建院鲁鹏飞,#zxc668# 杨浩摇头道：“一鼓作气？攻城之战，哪有三天五天，十天半月打得下来的？何况连番大战之下，咱们的兵也不是铁打的，哪有不累不乏的。再者说，刚刚招纳了这么多的降兵，扩张了这么大的地盘，这么大的一块肥肉吞下去，总得等它稳稳妥妥地化作自己腹中的食物才好，想要一口吃成个胖子，还不被撑? ?
宁建院鲁鹏飞,#zxc668# 杨浩摇头道：“一鼓作气？攻城之战，哪有三天五天，十天半月打得下来的？何况连番大战之下，咱们的兵也不是铁打的，哪有不累不乏的。再者说，刚刚招纳了这么多的降兵，扩张了这么大的地盘，这么大的一块肥肉吞下去，总得等它稳稳妥妥地化作自己腹中的食物才好，想要一口吃成个胖子，还不被撑? ?
侬本多梦_770,#坠崖孕妇遭男方家属辱骂#愿你所有的愿望都能实现，生日快乐！#肖战1005生日快乐# ?
努力努力再努力的歪小伦,怎么办 感觉要撑不下去了怎么办 ?
糯米团子鸭鸭鸭,你们永远都不要摊上这样子犯贱的爸妈呀我现在已经快饿死在房里了挺不下去了 现在真的撑不下去了如果我有一天真的饿死在房间里面这样他们要判刑的对吧我不好过 凭什么他们可以没事有时候想要极端的自残除了发泄 我就是想让自己死掉 摆脱一点痛苦 虽然他们不会伤心 但他们会受到惩罚的呀 他们痛苦 ?  展开全文c
糯米团子鸭鸭鸭,你们永远都不要摊上这样子犯贱的爸妈呀我现在已经快饿死在房里了挺不下去了 现在真的撑不下去了如果我有一天真的饿死在房间里面这样他们要判刑的对吧我不好过 凭什么他们可以没事有时候想要极端的自残除了发泄 我就是想让自己死掉 摆脱一点痛苦 虽然他们不会伤心 但他们会受到惩罚的呀 他们痛苦 ?  展开全文c
欧尼是个小仙女啊,作为一名中共党员，骄傲又自豪！祝我党98岁生日快乐！！
欧阳影双,@罗云熙Leo  我在#O网页链接#上为你加油啦，你是我今生唯一的执著哦。罗云熙 棒棒哒！快来为TA应援吧! L慢游全世界的酷燃视频 ???
趴兔犯困,尊巴发疯四十分钟，撑不下去了，要脱水了…一口气一瓶脉动 ?
啪叽咚咚,撑不下去就不要撑了，心疼一下自己好吗，没人能够体会你的痛苦，既然你自己知道了就好好对自己一点吧我求你了
派大星你好呀1,快乐不起来啊 20岁之后我只以我的阳历生日为主 是因为我真的33岁了 一无所有 还负债 大概只有我活的最凄惨了吧 我怎么乐观的起来呢  健康也有所负累 我都撑不下去了 真的是一无所有啊 什么都没有 一直在失去 没有什么美好的东西 或者是好的感情依靠 越贫穷越看见不堪 我越来越累 说句实话 我想到死是解 ?  展开全文c
派大星你好呀1,快乐不起来啊 20岁之后我只以我的阳历生日为主 是因为我真的33岁了 一无所有 还负债 大概只有我活的最凄惨了吧 我怎么乐观的起来呢  健康也有所负累 我都撑不下去了 真的是一无所有啊 什么都没有 一直在失去 没有什么美好的东西 或者是好的感情依靠 越贫穷越看见不堪 我越来越累 说句实话 我想到死是解 ?  展开全文c
潘潘丨潘小小潘,#宣酒6上市热销一周年# 祝小宣宣生日快乐！销量长红@秋日荼空@林夏颜的@好一个吴亦凡
潘小胖要天天开心,没有谁离了谁就过不下去 ? 车该自己开? 喜欢摄影该自己学? 工作该自己撑? ......不要着急慢慢来 不要着急 慢慢来不要着急 慢慢来你想要的都会有的 ?
潘小胖要天天开心,没有谁离了谁就过不下去 ? 车该自己开? 喜欢摄影该自己学? 工作该自己撑? ......不要着急慢慢来 不要着急 慢慢来不要着急 慢慢来你想要的都会有的 ?
潘小胖要天天开心,没有谁离了谁就过不下去 ? 车该自己开? 喜欢摄影该自己学? 工作该自己撑? ......不要着急慢慢来 不要着急 慢慢来不要着急 慢慢来你想要的都会有的 ?
盼盼盼盼dd,好好对我吧嘻嘻//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
胖脸m崽,找到合适的满意的工作 健康地生活//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
泡泡君鸭,什么给你带来快乐就选择什么好好工作   好好蹦迪这个夜我还可以继续熬?  2郑州 ?
皮皮虾骑士落叶,第五人格我真的撑不下去了，好想退游。从五阶一13分掉下来，队友疯狂制裁我，就是不让我上六阶。开局我溜60秒换人追结果就四杀我真的再也坚持不下去了，殿堂就留给混子和演员吧 ?
痞子·,生日快乐家鸽
噗嗤一起沉迷紫色呀,出道九周年快乐我的小公举??????  爱你一万年
朴燦花ww,#想念严敏#我感觉现在的鸡条像跑男，没有以前的感觉了，男人帮六人+严敏才是极限挑战我还是看回以前的鸡条吧，现在的鸡条就算有小猪艺兴黄磊王迅在撑也看不下去虽然每个嘉宾都很好但还是喜欢原班人马还是喜欢极限挑战，这就是命 ?
朴燦花ww,#想念严敏#我感觉现在的鸡条像跑男，没有以前的感觉了，男人帮六人+严敏才是极限挑战我还是看回以前的鸡条吧，现在的鸡条就算有小猪艺兴黄磊王迅在撑也看不下去虽然每个嘉宾都很好但还是喜欢原班人马还是喜欢极限挑战，这就是命 ?
朴狐仙的梓童,不要崩溃，不要坐在窗台上，不要总是在河边散步。。。他们说过的，要爱自己。即使再痛苦，也请撑一下。。。我不是还没有去见他们吗？请我，再撑下去，我还年轻，不值得的。。。请加油。我不会想跳下去的不是吗？遗书写好了，但我并没有送出去不是吗。。。加油
朴娃娃愛1004,利特#利特0701生日快乐#這是我們一起的第12個生日?今天你穿著很帥的水藍套裝現身?看著你聊打掃、聊做菜?你用各式小表情說著秘密?你說我們的心你都懂?台下的我好幸福?12年來真的越來越愛的你?希望你的第36個生日因為有我們的陪伴?也像我們一樣幸福?我最愛的朴正洙歐巴..生 ?  展开全文c
浦凑幽踊扇慷钟庸mu,#宣酒6上市热销一周年#生日快乐！越来越好，赶紧在上证上市！加油@树猫玫瑰@年记忆@絶対度
普通退役熬夜员楽光,不就是65没有高资和资深那，我也可以撑下去//@五月青枫 :93级！不就是62级没有高资吗 我还能撑下去
